DateBag;Site;ID;Week;Station;TreatmentNr;DateSorting;SorterID;SpeciesTreatmentNr;Species;NbSeedStart;SeedsCount;DamagedSeedsCount;SignsPredation;Notes;
09.10.2024;BET;MD&SG;1;8;1;22.04.2025;CT;1;Picea abies;120;120;1;;;
09.10.2024;BET;MD&SG;1;8;2;30.04.2025;CT;1;Abies alba;25;25;0;;;
09.10.2024;BET;MD&SG;1;8;2;30.04.2025;CT;1;Fagus sylvatica;5;6;0;;;
09.10.2024;BET;MD&SG;1;8;2;30.04.2025;CT;1;Picea abies;120;120;2;Hole;;
09.10.2024;BET;MD&SG;1;9;2;30.04.2025;CT;1;Abies alba;25;25;1;Crack;;
09.10.2024;BET;MD&SG;1;9;2;30.04.2025;CT;1;Fagus sylvatica;5;5;0;;;
09.10.2024;BET;MD&SG;1;9;2;30.04.2025;CT;1;Picea abies;120;120;0;;;
09.10.2024;BET;MD&SG;1;9;1;05.05.2025;CT;1;Abies alba;25;25;0;;;
09.10.2024;BET;MD&SG;1;9;1;05.05.2025;CT;1;Fagus sylvatica;5;5;0;;;
09.10.2024;BET;MD&SG;1;9;1;05.05.2025;CT;1;Picea abies;120;120;0;;;
09.10.2024;BET;MD&SG;1;10;1;28.04.2025;CT;1;Abies alba;25;25;0;;;
09.10.2024;BET;MD&SG;1;10;1;28.04.2025;CT;1;Fagus sylvatica;5;5;0;;;
09.10.2024;BET;MD&SG;1;10;1;28.04.2025;CT;1;Picea abies;120;120;0;;;
09.10.2024;BET;MD&SG;1;10;2;05.05.2025;CT;1;Abies alba;25;25;0;;;
09.10.2024;BET;MD&SG;1;10;2;05.05.2025;CT;1;Fagus sylvatica;5;5;0;;;
09.10.2024;BET;MD&SG;1;10;2;05.05.2025;CT;1;Picea abies;120;118;0;;;
16.10.2024;BET;SG&JK;2;1;1;15.04.2025;CT;1;Abies alba;25;25;2;Crack;A lot of ants and isopods;
16.10.2024;BET;SG&JK;2;1;1;15.04.2025;CT;1;Fagus sylvatica;5;5;2;Hole and Crack;A lot of ants and isopods;
16.10.2024;BET;SG&JK;2;1;1;15.04.2025;CT;1;Picea abies;120;121;0;;A lot of ants and isopods;
16.10.2024;BET;SG&JK;2;1;2;05.05.2025;CT;1;Abies alba;25;25;0;;A lot of isopods;
16.10.2024;BET;SG&JK;2;1;2;05.05.2025;CT;1;Fagus sylvatica;5;5;0;;A lot of isopods;
16.10.2024;BET;SG&JK;2;1;2;05.05.2025;CT;1;Picea abies;120;119;1;Crack;A lot of isopods;
16.10.2024;BET;SG&JK;2;2;2;22.04.2025;CT;1;Abies alba;25;25;1;Crack;;
16.10.2024;BET;SG&JK;2;2;2;22.04.2025;CT;1;Fagus sylvatica;5;5;0;;;
16.10.2024;BET;SG&JK;2;2;2;22.04.2025;CT;1;Picea abies;120;120;0;;;
16.10.2024;BET;SG&JK;2;2;1;29.04.2025;CT;1;Abies alba;25;25;1;Crack;;
16.10.2024;BET;SG&JK;2;2;1;29.04.2025;CT;1;Fagus sylvatica;5;5;0;;;
16.10.2024;BET;SG&JK;2;2;1;29.04.2025;CT;1;Picea abies;120;119;2;Hole;;
16.10.2024;BET;MD&SG;2;3;1;28.04.2025;CT;1;Abies alba;25;25;2;Hole and Crack;;
16.10.2024;BET;MD&SG;2;3;1;28.04.2025;CT;1;Fagus sylvatica;5;5;0;;;
16.10.2024;BET;MD&SG;2;3;1;28.04.2025;CT;1;Picea abies;120;120;0;;;
16.10.2024;BET;SG&JK;2;3;2;29.04.2025;CT;1;Abies alba;25;25;4;Hole;;
16.10.2024;BET;SG&JK;2;3;2;29.04.2025;CT;1;Fagus sylvatica;5;5;0;;;
16.10.2024;BET;SG&JK;2;3;2;29.04.2025;CT;1;Picea abies;120;118;1;Crack;;
16.10.2024;BET;SG&JK;2;4;1;28.04.2025;CT;1;Abies alba;25;25;2;Hole and Crack;;
16.10.2024;BET;SG&JK;2;4;1;28.04.2025;CT;1;Fagus sylvatica;5;5;0;;;
16.10.2024;BET;SG&JK;2;4;1;28.04.2025;CT;1;Picea abies;120;120;0;;;
16.10.2024;BET;SG&JK;2;4;2;05.05.2025;CT;1;Abies alba;25;25;1;Crack;A lot of isopods;
16.10.2024;BET;SG&JK;2;4;2;05.05.2025;CT;1;Fagus sylvatica;5;5;0;;A lot of isopods;
16.10.2024;BET;SG&JK;2;4;2;05.05.2025;CT;1;Picea abies;120;120;0;;A lot of isopods;
16.10.2024;BET;SG&JK;2;5;1;30.04.2025;CT;1;Abies alba;25;25;3;Hole;;
16.10.2024;BET;SG&JK;2;5;1;30.04.2025;CT;1;Fagus sylvatica;5;5;0;;;
16.10.2024;BET;SG&JK;2;5;1;30.04.2025;CT;1;Picea abies;120;118;0;;;
16.10.2024;BET;SG&JK;2;5;2;05.05.2025;CT;1;Abies alba;25;25;0;;;
16.10.2024;BET;SG&JK;2;5;2;05.05.2025;CT;1;Fagus sylvatica;5;5;1;Hole;;
16.10.2024;BET;SG&JK;2;5;2;05.05.2025;CT;1;Picea abies;120;120;0;;;
16.10.2024;BET;MD&SG;2;6;2;28.04.2025;CT;1;Abies alba;25;25;1;Crack;;
16.10.2024;BET;MD&SG;2;6;2;28.04.2025;CT;1;Fagus sylvatica;5;5;0;;;
16.10.2024;BET;MD&SG;2;6;2;28.04.2025;CT;1;Picea abies;120;121;0;;;
16.10.2024;BET;SG&JK;2;6;1;05.05.2025;CT;1;Abies alba;25;25;0;;;
16.10.2024;BET;SG&JK;2;6;1;05.05.2025;CT;1;Fagus sylvatica;5;0;0;;;
16.10.2024;BET;SG&JK;2;6;1;05.05.2025;CT;1;Picea abies;120;20;0;;A lot of empty seed coats;
16.10.2024;BET;SG&JK;2;7;2;29.04.2025;CT;1;Abies alba;25;25;0;;;
16.10.2024;BET;SG&JK;2;7;2;29.04.2025;CT;1;Fagus sylvatica;5;5;0;;;
16.10.2024;BET;SG&JK;2;7;2;29.04.2025;CT;1;Picea abies;120;119;0;;;
16.10.2024;BET;SG&JK;2;7;1;30.04.2025;CT;1;Abies alba;25;25;0;;A lot of bug in sample;
16.10.2024;BET;SG&JK;2;7;1;30.04.2025;CT;1;Fagus sylvatica;5;0;0;;A lot of bug in sample;
16.10.2024;BET;SG&JK;2;7;1;30.04.2025;CT;1;Picea abies;120;0;0;;A lot of bug in sample;
16.10.2024;BET;SG&JK;2;8;1;28.04.2025;CT;1;Abies alba;25;25;0;;;
16.10.2024;BET;SG&JK;2;8;1;28.04.2025;CT;1;Fagus sylvatica;5;5;0;;;
16.10.2024;BET;SG&JK;2;8;1;28.04.2025;CT;1;Picea abies;120;119;0;;;
16.10.2024;BET;MD;2;8;2;14.04.2025;CT;1;Abies alba;25;25;1;Hole;;
